spot,maturity,price,delta,gamma,vega,payoff
101.5,1,11.4266,0.664379,0.0179595,37.0047,1.5
102,1,11.7611,0.673289,0.0176807,36.7901,2
102.5,1,12.0999,0.682059,0.0173972,36.5558,2.5
103,1,12.4431,0.690685,0.0171094,36.3027,3
103.5,1,12.7906,0.699167,0.0168178,36.0313,3.5
104,1,13.1422,0.707503,0.0165229,35.7424,4
104.5,1,13.498,0.71569,0.0162253,35.4368,4.5
105,1,13.8579,0.723727,0.0159252,35.1152,5
105.5,1,14.2217,0.731615,0.0156233,34.7783,5.5
106,1,14.5895,0.739351,0.0153199,34.4269,6
106.5,1,14.9611,0.746934,0.0150155,34.0618,6.5
107,1,15.3364,0.754366,0.0147104,33.6838,7
107.5,1,15.7154,0.761645,0.014405,33.2935,7.5
108,1,16.098,0.768771,0.0140997,32.8918,8
108.5,1,16.4842,0.775745,0.0137949,32.4794,8.5
109,1,16.8737,0.782566,0.0134909,32.057,9
109.5,1,17.2667,0.789236,0.013188,31.6254,9.5
110,1,17.663,0.795754,0.0128865,31.1854,10
110.5,1,18.0624,0.802122,0.0125868,30.7375,10.5
111,1,18.4651,0.808341,0.012289,30.2826,11
111.5,1,18.8707,0.814412,0.0119935,29.8214,11.5
112,1,19.2794,0.820335,0.0117006,29.3544,12
112.5,1,19.6911,0.826113,0.0114103,28.8824,12.5
113,1,20.1055,0.831746,0.0111231,28.4061,13
113.5,1,20.5228,0.837236,0.010839,27.926,13.5
114,1,20.9427,0.842586,0.0105582,27.4428,14
114.5,1,21.3653,0.847795,0.0102809,26.9571,14.5
115,1,21.7905,0.852867,0.0100074,26.4695,15
115.5,1,22.2182,0.857803,0.00973762,25.9805,15.5
116,1,22.6483,0.862605,0.00947184,25.4906,16
116.5,1,23.0808,0.867276,0.00921014,25.0005,16.5
117,1,23.5155,0.871816,0.00895263,24.5105,17
117.5,1,23.9526,0.876229,0.0086994,24.0212,17.5
118,1,24.3918,0.880516,0.00845055,23.5331,18
118.5,1,24.8331,0.88468,0.00820615,23.0466,18.5
119,1,25.2764,0.888723,0.00796627,22.5621,19
119.5,1,25.7218,0.892647,0.00773095,22.08,19.5
120,1,26.169,0.896455,0.00750025,21.6007,20
80,2,5.23183,0.384395,0.0168854,43.2266,0
80.5,2,5.42614,0.392838,0.0168854,43.7687,0
81,2,5.62467,0.40128,0.0168774,44.2929,0
81.5,2,5.82742,0.409715,0.0168613,44.7988,0
82,2,6.03438,0.41814,0.0168375,45.2861,0
82.5,2,6.24556,0.426551,0.0168061,45.7545,0
83,2,6.46093,0.434944,0.0167672,46.2037,0
83.5,2,6.6805,0.443317,0.0167211,46.6335,0
84,2,6.90424,0.451664,0.016668,47.0436,0
84.5,2,7.13216,0.459984,0.016608,47.434,0
85,2,7.36422,0.468271,0.0165413,47.8044,0
85.5,2,7.60042,0.476524,0.0164682,48.1547,0
86,2,7.84074,0.484738,0.0163889,48.4848,0
86.5,2,8.08515,0.492912,0.0163035,48.7947,0
87,2,8.33364,0.501041,0.0162123,49.0843,0
87.5,2,8.58619,0.509123,0.0161155,49.3537,0
88,2,8.84276,0.517155,0.0160133,49.6028,0
88.5,2,9.10333,0.525135,0.0159059,49.8316,0
89,2,9.36789,0.533061,0.0157936,50.0404,0
89.5,2,9.63638,0.540928,0.0156765,50.229,0
90,2,9.9088,0.548736,0.0155548,50.3977,0
90.5,2,10.1851,0.556482,0.0154289,50.5466,0
91,2,10.4653,0.564164,0.0152988,50.6758,0
91.5,2,10.7493,0.57178,0.0151648,50.7855,0
92,2,11.037,0.579329,0.0150271,50.8759,0
92.5,2,11.3286,0.586807,0.0148859,50.9472,0
93,2,11.6238,0.594214,0.0147415,50.9996,0
93.5,2,11.9228,0.601548,0.0145939,51.0334,0
94,2,12.2254,0.608807,0.0144434,51.0489,0
94.5,2,12.5316,0.615991,0.0142903,51.0462,0
95,2,12.8414,0.623097,0.0141346,51.0258,0
95.5,2,13.1547,0.630125,0.0139766,50.9879,0
96,2,13.4715,0.637073,0.0138164,50.9328,0
96.5,2,13.7917,0.643941,0.0136543,50.8608,0
97,2,14.1154,0.650727,0.0134904,50.7723,0
97.5,2,14.4424,0.657431,0.0133248,50.6676,0
98,2,14.7728,0.664052,0.0131578,50.5471,0
98.5,2,15.1065,0.670589,0.0129896,50.4112,0
99,2,15.4434,0.677041,0.0128201,50.2601,0
99.5,2,15.7835,0.683409,0.0126498,50.0943,0
100,2,16.1268,0.689691,0.0124785,49.9142,0
100.5,2,16.4732,0.695887,0.0123066,49.7201,0.5
101,2,16.8227,0.701998,0.0121342,49.5124,1
101.5,2,17.1752,0.708021,0.0119614,49.2916,1.5
102,2,17.5307,0.713959,0.0117882,49.058,2
102.5,2,17.8891,0.71981,0.011615,48.8119,2.5
103,2,18.2505,0.725574,0.0114417,48.5539,3
103.5,2,18.6147,0.731251,0.0112685,48.2844,3.5
104,2,18.9817,0.736842,0.0110955,48.0036,4
104.5,2,19.3515,0.742347,0.0109228,47.712,4.5
105,2,19.724,0.747765,0.0107506,47.4101,5
105.5,2,20.0992,0.753098,0.0105789,47.0981,5.5
106,2,20.4771,0.758344,0.0104078,46.7766,6
106.5,2,20.8576,0.763506,0.0102374,46.4459,6.5
107,2,21.2406,0.768582,0.0100678,46.1063,7
